Date,Low,Open,Volume,High,Close,Adjusted Close
8-19-04,47.80083084,49.81328964,44871361,51.83570862,49.98265457,49.98265457
8-20-04,50.06235504,50.31640244,22942874,54.33633423,53.95277023,53.95277023
8-23-04,54.32138824,55.16821671,18342897,56.52811813,54.49573517,54.49573517
8-24-04,51.5916214,55.41230011,15319808,55.59162903,52.23919678,52.23919678
8-25-04,51.74604416,52.2840271,9232276,53.79835129,52.80208588,52.80208588
8-26-04,52.13458633,52.2790451,7128620,53.77344513,53.75351715,53.75351715
8-27-04,52.64766312,53.8481636,6241307,54.10719299,52.87680435,52.87680435
8-30-04,50.81453323,52.44342804,5221498,52.54803848,50.81453323,50.81453323
8-31-04,50.88925552,50.958992,4941252,51.66136169,50.99386215,50.99386215
9-1-04,49.64890289,51.15824509,9181687,51.29274368,49.93782043,49.93782043
9-2-04,49.28526688,49.40980148,15190525,50.99386215,50.56546783,50.56546783
9-3-04,49.47455597,50.28651428,5176932,50.68003845,49.81826782,49.81826782
9-7-04,49.61901474,50.31640244,5875340,50.80955124,50.60033798,50.60033798
9-8-04,50.06235504,50.18190765,5009306,51.32263184,50.958992,50.958992
9-9-04,50.31142044,51.07356262,4081040,51.16322708,50.963974,50.963974
9-10-04,50.46086121,50.61029816,8740238,53.08103943,52.4683342,52.4683342
9-13-04,53.03122711,53.11590958,7881431,54.00258636,53.54928589,53.54928589
9-14-04,53.19561005,53.52437592,10880430,55.79088211,55.53683472,55.53683472
9-15-04,54.89424133,55.07357025,10763995,56.90171814,55.79088211,55.79088211
9-16-04,55.61653519,55.96024704,9310367,57.6837883,56.77220535,56.77220535
9-17-04,56.56298828,56.99636459,9517541,58.52563095,58.52563095,58.52563095
9-20-04,58.16697693,58.25664139,10679279,60.5729599,59.45714188,59.45714188
9-21-04,58.53559494,59.68130112,7263122,59.98516083,58.69997787,58.69997787
9-22-04,58.18690109,58.48080063,7617245,59.61156082,58.96897125,58.96897125
9-23-04,58.29150772,59.19811249,8576226,61.08603668,60.18441391,60.18441391
9-24-04,59.65639114,60.24419022,9166831,61.81829071,59.69126129,59.69126129
9-27-04,58.68005371,59.55676651,7099712,60.21430206,58.90919495,58.90919495
9-28-04,59.8805542,60.42351913,17009518,63.46212769,63.19313812,63.19313812
9-29-04,62.87931442,63.11343384,30661498,67.25790405,65.29525757,65.29525757
9-30-04,64.25914001,64.7074585,13823420,65.90297699,64.55802155,64.55802155
10-1-04,64.2093277,65.15577698,15196748,66.86935425,66.04245758,66.04245758
10-4-04,66.76474762,67.37247467,13084661,68.17944336,67.2778244,67.2778244
10-5-04,65.87309265,67.07857513,15044379,69.00634766,68.92664337,68.92664337
10-6-04,67.74607086,68.51817322,13445007,68.96649933,68.28405762,68.28405762
10-7-04,68.02004242,68.20435333,14182160,69.67882538,69.1657486,69.1657486
10-8-04,68.25416565,69.1009903,11122133,69.57920074,68.60784149,68.60784149
10-11-04,66.67508698,68.24420166,10521891,69.17073059,67.37745667,67.37745667
10-12-04,66.45092773,66.96898651,11720969,68.54806519,68.44345856,68.44345856
10-13-04,69.77845001,71.39240265,19860163,71.50697327,70.18692017,70.18692017
10-14-04,69.02129364,70.24171448,10491779,70.92415619,70.73487091,70.73487091
10-15-04,70.70996094,72.19439697,13257507,72.47833252,71.78592682,71.78592682
10-18-04,70.34134674,71.33262634,14103064,74.32142639,74.30149841,74.30149841
10-19-04,73.39987946,74.96900177,18195948,75.91545105,73.69377899,73.69377899
10-20-04,69.53935242,73.73860931,22830655,74.21681976,69.9826889,69.9826889
10-21-04,70.545578,71.9303894,29288370,74.78469086,74.41108704,74.41108704
10-22-04,81.73364258,84.95158386,74060360,89.74859619,85.89305115,85.89305115
10-25-04,85.95282745,87.87063599,65774017,96.85197449,93.35009766,93.35009766
10-26-04,89.66391754,92.82208252,44781425,95.96031952,90.5605545,90.5605545
10-27-04,90.54561615,91.01883698,26813127,94.40614319,92.63777161,92.63777161
10-28-04,92.45346069,92.99144745,29804899,96.83204651,96.28908539,96.28908539
10-29-04,94.94412231,99.07364655,42483644,99.60166931,94.96405029,94.96405029
11-1-04,95.27787781,96.41362,24541444,98.46592712,97.64898682,97.64898682
11-2-04,96.30901337,99.01885223,22777657,99.25297546,97.07115173,97.07115173
11-3-04,95.0188446,98.7199707,27881517,100.4235916,95.47712708,95.47712708
11-4-04,91.33266449,93.86815643,28927221,94.84449768,92.00514221,92.00514221
11-5-04,83.96029663,90.65022278,39814879,90.80962372,84.3588028,84.3588028
11-8-04,84.38371277,85.14585114,22467499,87.39243317,85.95282745,85.95282745
11-9-04,82.32642365,86.72493744,22211343,87.27288055,84.03501892,84.03501892
11-10-04,82.85443878,85.01633453,21367793,85.93788147,83.61658478,83.61658478
11-11-04,83.47212219,84.24921417,30083339,91.53191376,91.16828156,91.16828156
11-12-04,88.36877441,92.26914978,33617737,94.54562378,90.66018677,90.66018677
11-15-04,89.04125214,89.88807678,23892219,93.80838013,92.08982849,92.08982849
11-16-04,85.09603882,88.41858673,41991607,89.39990997,85.94784546,85.94784546
11-17-04,84.18445587,84.19441986,36401733,88.41858673,85.92791748,85.92791748
11-18-04,82.55555725,84.82704926,33383864,86.88433838,83.45718384,83.45718384
11-19-04,82.94908905,84.23426819,17604339,84.67262268,84.38371277,84.38371277
11-22-04,80.35381317,81.92791748,24829118,84.43352509,82.24173737,82.24173737
11-23-04,82.93912506,83.67137909,24919656,85.09603882,83.44721985,83.44721985
11-24-04,85.93289948,87.08358765,30676554,88.27412415,87.05370331,87.05370331
11-26-04,87.33265686,87.57176208,13008778,89.67886353,89.36005402,89.36005402
11-29-04,88.42356873,89.84324646,21413162,91.13340759,90.18695831,90.18695831
11-30-04,89.78845215,90.01759338,15457723,91.15831757,90.65022278,90.65022278
12-1-04,89.4397583,90.63527679,15787153,90.90924835,89.64398956,89.64398956
12-2-04,88.9416275,89.61410522,12568735,90.41609955,89.36503601,89.36503601
12-3-04,88.46839905,89.63900757,11782398,90.19194031,89.86317444,89.86317444
12-6-04,87.68135071,89.23054504,12554883,90.01261139,87.81584167,87.81584167
12-7-04,84.95655823,87.67138672,13793308,87.77101135,85.39492035,85.39492035
12-8-04,84.04995728,84.85693359,15140137,86.51571655,84.67262268,84.67262268
12-9-04,83.9204483,84.80712128,15365378,86.42605591,86.39118195,86.39118195
12-10-04,85.32518005,86.39118195,8666764,87.11347961,85.50450897,85.50450897
12-13-04,84.40861511,85.76353455,9673323,86.26664734,84.90674591,84.90674591
12-14-04,84.4833374,85.1807251,22259924,89.07611847,89.0113678,89.0113678
12-15-04,88.00015259,88.66267395,23027992,90.00762939,89.55432892,89.55432892
12-16-04,87.64647675,88.14461517,17209866,89.90800476,87.90550995,87.90550995
12-17-04,87.94535828,88.0499649,14827771,89.91298676,89.70376587,89.70376587
12-20-04,90.59542847,90.66018677,19742724,93.87812042,92.16454315,92.16454315
12-21-04,91.35756683,92.80713654,11073953,93.58920288,91.53191376,91.53191376
12-22-04,91.16329956,91.60663605,7843289,93.0761261,92.80215454,92.80215454
12-23-04,92.65271759,93.37500763,7256297,93.94786072,93.59916687,93.59916687
12-27-04,94.19692993,94.22183228,12253959,96.28908539,95.59667969,95.59667969
12-28-04,95.14836121,95.69630432,8322679,96.41362,96.02009583,96.02009583
12-29-04,95.53192139,95.53192139,5376276,96.39867401,96.08982849,96.08982849
12-30-04,95.56679535,96.12470245,11852862,98.74488068,98.43105316,98.43105316
12-31-04,95.92046356,99.24301147,15394487,99.56679535,96.03503418,96.03503418
1-3-05,97.36505127,98.33142853,31807176,101.4397812,100.9765167,100.9765167
1-4-05,96.37874603,100.3239594,27614921,101.0861053,96.88684082,96.88684082
1-5-05,95.75608063,96.36380768,16534946,98.08235931,96.39369202,96.39369202
1-6-05,93.50950623,97.17575836,20852067,97.58422852,93.92295074,93.92295074
1-7-05,94.03752136,94.96405029,19398238,96.76231384,96.56305695,96.56305695
1-10-05,95.55683136,96.88684082,15135721,98.68012238,97.165802,97.165802
1-11-05,96.22930908,97.44475555,13969566,98.48584747,96.408638,96.408638
1-12-05,94.89431,96.80216217,16416905,97.5991745,97.32520294,97.32520294
1-13-05,96.66268158,97.32520294,13750146,98.32644653,97.30029297,97.30029297
1-14-05,96.70253754,97.63404083,19352868,99.63155365,99.6116333,99.6116333
